analysis_branch,mode,model,training_policy,before,after,groups,taxa,observers,delta_accuracy,observer_signflip_p,observer_signflip_p_holm64,observer_signflip_p_holm128,taxon_signflip_p_holm128,macro_before,macro_after,lower95,upper95,positive_taxa,negative_taxa,zero_taxa,leave_one_taxon_out_min,leave_one_taxon_out_max
exclude_affected,strict10,deepsets,all,2,3,473,50,381,0.02915957961791295,0.0001,0.0064,0.0128,0.0025599488010239796,0.6241462728629396,0.6533058524808526,0.019239240323440276,0.03892888027728795,38,9,3,0.027033584644128864,0.031228595981997342
exclude_affected,strict10,deepsets,all,2,4,215,50,184,0.04093809523809523,0.0001,0.0064,0.0128,0.0025599488010239796,0.6065428571428572,0.6474809523809523,0.02753468314856806,0.05565311712648022,35,7,8,0.03752186588921283,0.04479699816434509
exclude_affected,strict10,deepsets,all,2,5,102,42,88,0.05675925925925924,0.0014,0.0294,0.0602,0.010799784004319914,0.5555423280423281,0.6123015873015872,0.04023810626102292,0.0733422784391534,27,9,6,0.042696476964769636,0.06058265582655826
exclude_affected,strict10,deepsets,k1,1,2,1052,50,723,0.0669400055197989,0.0001,0.0064,0.0128,0.0025599488010239796,0.5834562331231782,0.6503962386429771,0.05692674035888311,0.07770064367030752,49,1,0,0.06516641065599574,0.06861319535278043
exclude_affected,strict10,deepsets,k1,2,3,473,50,381,0.029444083694083703,0.0001,0.0064,0.0128,0.0025599488010239796,0.6311964738964738,0.6606405575905575,0.019858957654996123,0.039580204214480295,39,7,4,0.027712621845274916,0.030848941308124985
exclude_affected,strict10,deepsets,k1,2,4,215,50,184,0.0399074074074074,0.0001,0.0064,0.0128,0.0036599268014639707,0.6200666666666667,0.659974074074074,0.02785808248824221,0.0522751759259259,29,10,11,0.03270975056689342,0.04223356009070294
exclude_affected,strict10,deepsets,k1,2,5,102,42,88,0.045317460317460305,0.0236,0.1888,0.3776,0.33731325373492527,0.5733333333333333,0.6186507936507937,0.029122255291005303,0.062054166666666674,26,8,8,0.032601626016260155,0.05292682926829267
exclude_affected,strict10,set_transformer,all,1,2,1052,50,723,0.07899394752715747,0.0001,0.0064,0.0128,0.0025599488010239796,0.5330683935008605,0.6120623410280178,0.06934844537309855,0.08851725046002361,48,2,0,0.07624535025882981,0.08088006739354692
exclude_affected,strict10,set_transformer,all,2,3,473,50,381,0.03864182946682947,0.0001,0.0064,0.0128,0.0025599488010239796,0.6070266215266216,0.645668450993451,0.028999789215327244,0.048224825980133446,43,6,1,0.03665266045368086,0.04011071034030218
exclude_affected,strict10,set_transformer,all,2,4,215,50,184,0.0678137566137566,0.0001,0.0064,0.0128,0.0025599488010239796,0.5913502645502645,0.6591640211640211,0.053208713613840594,0.08199793337952464,40,6,4,0.0603541734153979,0.071162941367023
exclude_affected,strict10,set_transformer,all,2,5,102,42,88,0.09259259259259259,0.0001,0.0064,0.0128,0.019739605207895843,0.534920634920635,0.6275132275132274,0.07541069223985891,0.11021673280423279,29,8,5,0.08184281842818428,0.105420054200542
exclude_affected,strict10,set_transformer,k1,1,2,1052,50,723,0.06658833772816476,0.0001,0.0064,0.0128,0.0025599488010239796,0.5404499062239647,0.6070382439521296,0.05712755962076701,0.07693522368097269,48,2,0,0.06363017193611788,0.0689367700998589
exclude_affected,strict10,set_transformer,k1,2,3,473,50,381,0.026354965713299053,0.0001,0.0064,0.0128,0.0025599488010239796,0.5868283870450537,0.6131833527583528,0.017748297570533717,0.035286559615256737,41,8,1,0.024738627145089738,0.02773182442400131
exclude_affected,strict10,set_transformer,k1,2,4,215,50,184,0.0383042328042328,0.0001,0.0064,0.0128,0.0027199456010879785,0.567937037037037,0.6062412698412699,0.025653679028092707,0.05157396058515996,36,12,2,0.035117697872799905,0.04084332145556635
exclude_affected,strict10,set_transformer,k1,2,5,102,42,88,0.029828042328042325,0.1264,0.6155999999999999,1.0,1.0,0.5348544973544973,0.5646825396825396,0.0134069885361552,0.045900418871252194,25,12,5,0.022425474254742547,0.042750677506775074
